x-axis,1,2,EXT
second,Volt,Volt,
+34.76000E-03,+6.48142011E+00,+1.25905775E+00,1
+34.84000E-03,+6.50301450E+00,+1.17061554E+00,1
+34.92000E-03,+6.53097376E+00,+1.25040059E+00,1
+35.00000E-03,+6.47790843E+00,+1.25905775E+00,1
+35.08000E-03,+6.51080595E+00,+1.25905775E+00,1
+35.16000E-03,+6.52595613E+00,+1.25905775E+00,1
+35.24000E-03,+6.52084120E+00,+1.22528255E+00,1
+35.32000E-03,+6.50444109E+00,+1.25489136E+00,1
+35.40000E-03,+6.50317322E+00,+1.30539198E+00,1
+35.48000E-03,+6.50192331E+00,+1.17900816E+00,1
+35.56000E-03,+6.50444109E+00,+1.25905775E+00,1
+35.64000E-03,+6.53097376E+00,+1.25905775E+00,1
+35.72000E-03,+6.52587677E+00,+1.24206780E+00,1
+35.80000E-03,+6.51449429E+00,+1.25905775E+00,1
+35.88000E-03,+6.48056699E+00,+1.25462682E+00,1
+35.96000E-03,+6.53097376E+00,+1.17061554E+00,1
+36.04000E-03,+6.53097376E+00,+1.25092966E+00,1
+36.12000E-03,+6.54856237E+00,+1.25905775E+00,1
+36.20000E-03,+6.49032070E+00,+1.25905775E+00,1
+36.28000E-03,+6.53097376E+00,+1.17061554E+00,1
+36.36000E-03,+6.54094760E+00,+1.22581162E+00,1
+36.44000E-03,+6.53097376E+00,+1.17061554E+00,1
+36.52000E-03,+6.54471530E+00,+1.25905775E+00,1
+36.60000E-03,+6.55750642E+00,+1.25119419E+00,1
+36.68000E-03,+6.55750642E+00,+1.22897972E+00,1
+36.76000E-03,+6.55750642E+00,+1.25905775E+00,1
+36.84000E-03,+6.51495250E+00,+1.25905775E+00,1
+36.92000E-03,+6.57414460E+00,+1.29203935E+00,1
+37.00000E-03,+6.55750642E+00,+1.25905775E+00,1
+37.08000E-03,+6.57116861E+00,+1.21615616E+00,1
+37.16000E-03,+6.60829204E+00,+1.25905775E+00,1
+37.24000E-03,+6.58403908E+00,+1.34749997E+00,1
+37.32000E-03,+6.57799167E+00,+1.27921580E+00,1
+37.40000E-03,+6.58403908E+00,+1.32971642E+00,1
+37.48000E-03,+6.60075663E+00,+1.40322511E+00,1
+37.56000E-03,+6.60900439E+00,+1.25905775E+00,1
+37.64000E-03,+6.59698892E+00,+1.30433384E+00,1
+37.72000E-03,+6.55970677E+00,+1.25905775E+00,1
+37.80000E-03,+6.62792228E+00,+1.31689286E+00,1
+37.88000E-03,+6.61057175E+00,+1.34749997E+00,1
+37.96000E-03,+6.61057175E+00,+1.34749997E+00,1
+38.04000E-03,+6.63710441E+00,+1.31504743E+00,1
+38.12000E-03,+6.58568580E+00,+1.34201091E+00,1
+38.20000E-03,+6.63710441E+00,+1.34749997E+00,1
+38.28000E-03,+6.61057175E+00,+1.34043001E+00,1
+38.36000E-03,+6.63710441E+00,+1.37837160E+00,1
+38.44000E-03,+6.63710441E+00,+1.34749997E+00,1
+38.52000E-03,+6.66363707E+00,+1.41762957E+00,1
+38.60000E-03,+6.65398067E+00,+1.43594218E+00,1
+38.68000E-03,+6.64055656E+00,+1.34174637E+00,1
+38.76000E-03,+6.62368030E+00,+1.43699402E+00,1
+38.84000E-03,+6.66159544E+00,+1.43594218E+00,1
+38.92000E-03,+6.67297792E+00,+1.40480601E+00,1
+39.00000E-03,+6.69016973E+00,+1.52438439E+00,1
+39.08000E-03,+6.65806393E+00,+1.36607711E+00,1
+39.16000E-03,+6.66363707E+00,+1.52438439E+00,1
+39.24000E-03,+6.63890985E+00,+1.52438439E+00,1
+39.32000E-03,+6.67698182E+00,+1.56886689E+00,1
+39.40000E-03,+6.71670240E+00,+1.52438439E+00,1
+39.48000E-03,+6.70728219E+00,+1.55578510E+00,1
+39.56000E-03,+6.71670240E+00,+1.59372669E+00,1
+39.64000E-03,+6.69582224E+00,+1.59398493E+00,1
+39.72000E-03,+6.68263243E+00,+1.55604333E+00,1
+39.80000E-03,+6.74135026E+00,+1.69498616E+00,1
+39.88000E-03,+6.74323506E+00,+1.65704457E+00,1
+39.96000E-03,+6.74511797E+00,+1.61910297E+00,1
+40.04000E-03,+6.74323506E+00,+1.70126882E+00,1
+40.12000E-03,+6.76411711E+00,+1.63166199E+00,1
+40.20000E-03,+6.76976772E+00,+1.77060482E+00,1
+40.28000E-03,+6.79630039E+00,+1.75831663E+00,1
+40.36000E-03,+6.79630039E+00,+1.78971104E+00,1
+40.44000E-03,+6.79630039E+00,+1.83419982E+00,1
+40.52000E-03,+6.82102950E+00,+1.87214142E+00,1
+40.60000E-03,+6.81325412E+00,+1.82164080E+00,1
+40.68000E-03,+6.82283305E+00,+1.85958240E+00,1
+40.76000E-03,+6.80211161E+00,+1.87815325E+00,1
+40.84000E-03,+6.84002675E+00,+1.99772533E+00,1
+40.92000E-03,+6.87181134E+00,+1.96659546E+00,1
+41.00000E-03,+6.84936571E+00,+2.01134879E+00,1
+41.08000E-03,+6.84936571E+00,+2.05503768E+00,1
+41.16000E-03,+6.83970742E+00,+2.03098406E+00,1
+41.24000E-03,+6.87589838E+00,+2.05503768E+00,1
+41.32000E-03,+6.85525630E+00,+2.12384461E+00,1
+41.40000E-03,+6.87589838E+00,+2.11261455E+00,1
+41.48000E-03,+6.90030816E+00,+2.14347989E+00,1
+41.56000E-03,+6.88940373E+00,+2.09846204E+00,1
+41.64000E-03,+6.87754320E+00,+2.05503768E+00,1
+41.72000E-03,+6.88563603E+00,+2.11102106E+00,1
+41.80000E-03,+6.92355117E+00,+2.14347989E+00,1
+41.88000E-03,+6.90243104E+00,+2.25182192E+00,1
+41.96000E-03,+6.91161128E+00,+2.23192210E+00,1
+42.04000E-03,+6.93116594E+00,+2.23192210E+00,1
+42.12000E-03,+6.94254842E+00,+2.36352414E+00,1
+42.20000E-03,+6.95393090E+00,+2.32036432E+00,1
+42.28000E-03,+6.94567936E+00,+2.35308769E+00,1
+42.36000E-03,+6.97669585E+00,+2.39102928E+00,1
+42.44000E-03,+6.95549637E+00,+2.42897088E+00,1
+42.52000E-03,+6.97292815E+00,+2.32036432E+00,1
+42.60000E-03,+6.95549637E+00,+2.40880653E+00,1
+42.68000E-03,+6.98202903E+00,+2.45170183E+00,1
+42.76000E-03,+6.98202903E+00,+2.49724875E+00,1
+42.84000E-03,+6.98202903E+00,+2.53023665E+00,1
+42.92000E-03,+6.98728284E+00,+2.51476146E+00,1
+43.00000E-03,+6.98202903E+00,+2.58569096E+00,1
+43.08000E-03,+6.96451789E+00,+2.61576270E+00,1
+43.16000E-03,+7.00620073E+00,+2.59356082E+00,1
+43.24000E-03,+7.00856169E+00,+2.62832172E+00,1
+43.32000E-03,+7.03228086E+00,+2.75788622E+00,1
+43.40000E-03,+7.05165129E+00,+2.67413317E+00,1
+43.48000E-03,+7.01373615E+00,+2.76257539E+00,1
+43.56000E-03,+7.03509435E+00,+2.69482659E+00,1
+43.64000E-03,+7.01750385E+00,+2.82121040E+00,1
+43.72000E-03,+7.05918670E+00,+2.85101760E+00,1
+43.80000E-03,+7.06273995E+00,+2.85101760E+00,1
+43.88000E-03,+7.11203757E+00,+2.85986686E+00,1
+43.96000E-03,+7.07810459E+00,+2.93945982E+00,1
+44.04000E-03,+7.08306459E+00,+3.01091838E+00,1
+44.12000E-03,+7.08815968E+00,+3.02790203E+00,1
+44.20000E-03,+7.11469234E+00,+2.99854516E+00,1
+44.28000E-03,+7.11469234E+00,+3.12474317E+00,1
+44.36000E-03,+7.12859450E+00,+3.15844594E+00,1
+44.44000E-03,+7.11594037E+00,+3.20062636E+00,1
+44.52000E-03,+7.13109056E+00,+3.29322867E+00,1
+44.60000E-03,+7.11970808E+00,+3.29322867E+00,1
+44.68000E-03,+7.16775767E+00,+3.29322867E+00,1
+44.76000E-03,+7.16775767E+00,+3.41094902E+00,1
+44.84000E-03,+7.11729138E+00,+3.39033434E+00,1
+44.92000E-03,+7.19429033E+00,+3.47011310E+00,1
+45.00000E-03,+7.16775767E+00,+3.56245088E+00,1
+45.08000E-03,+7.23103680E+00,+3.61295149E+00,1
+45.16000E-03,+7.22082300E+00,+3.64699753E+00,1
+45.24000E-03,+7.24090956E+00,+3.73543974E+00,1
