x-axis,1,2
second,Volt,Volt
-19.160000E-03,,
-19.150800E-03,,
-19.141600E-03,+3.862962236E+00,+4.065829122E+00
-19.132400E-03,+3.848891885E+00,+3.995477363E+00
-19.123200E-03,+3.858741131E+00,+3.995477363E+00
-19.114000E-03,+3.858037613E+00,+4.156281382E+00
-19.104800E-03,+3.858037613E+00,+3.995477363E+00
-19.095600E-03,+3.855927061E+00,+4.126130628E+00
-19.086400E-03,+3.847484850E+00,+3.995477363E+00
-19.077200E-03,+3.858037613E+00,+3.995477363E+00
-19.068000E-03,+3.853112990E+00,+4.226633140E+00
-19.058800E-03,+3.858037613E+00,+4.156281382E+00
-19.049600E-03,+3.868590377E+00,+3.995477363E+00
-19.040400E-03,+3.865776307E+00,+4.206532638E+00
-19.031200E-03,+3.853112990E+00,+4.136180880E+00
-19.022000E-03,+3.848891885E+00,+4.025628117E+00
-19.012800E-03,+3.858037613E+00,+4.307035149E+00
-19.003600E-03,+3.854520025E+00,+3.995477363E+00
-18.994400E-03,+3.862962236E+00,+4.065829122E+00
-18.985200E-03,+3.858037613E+00,+3.995477363E+00
-18.976000E-03,+3.868590377E+00,+4.156281382E+00
-18.966800E-03,+3.854520025E+00,+4.106030126E+00
-18.957600E-03,+3.853112990E+00,+4.176381884E+00
-18.948400E-03,+3.848891885E+00,+4.156281382E+00
-18.939200E-03,+3.858037613E+00,+4.156281382E+00
-18.930000E-03,+3.858037613E+00,+4.156281382E+00
-18.920800E-03,+3.858037613E+00,+4.156281382E+00
-18.911600E-03,+3.855927061E+00,+4.156281382E+00
-18.902400E-03,+3.858037613E+00,+4.146231131E+00
-18.893200E-03,+3.858037613E+00,+4.045728619E+00
-18.884000E-03,+3.851705955E+00,+3.995477363E+00
-18.874800E-03,+3.846781332E+00,+4.256783893E+00
-18.865600E-03,+3.847484850E+00,+4.156281382E+00
-18.856400E-03,+3.858037613E+00,+4.156281382E+00
-18.847200E-03,+3.858037613E+00,+4.085929624E+00
-18.838000E-03,+3.858037613E+00,+4.286934647E+00
-18.828800E-03,+3.857334096E+00,+4.166331633E+00
-18.819600E-03,+3.850298920E+00,+4.156281382E+00
-18.810400E-03,+3.853112990E+00,+4.156281382E+00
-18.801200E-03,+3.865072789E+00,+4.186432135E+00
-18.792000E-03,+3.847484850E+00,+4.146231131E+00
-18.782800E-03,+3.850298920E+00,+4.216582889E+00
-18.773600E-03,+3.851705955E+00,+4.156281382E+00
-18.764400E-03,+3.848891885E+00,+4.126130628E+00
-18.755200E-03,+3.858741131E+00,+4.166331633E+00
