x-axis,1
second,Volt
+23.750000E-03,+2.018818430E+00
+23.752500E-03,+2.018818430E+00
+23.755000E-03,+2.018818430E+00
+23.757500E-03,+2.018818430E+00
+23.760000E-03,+2.018818430E+00
+23.762500E-03,+2.018818430E+00
+23.765000E-03,+2.018818430E+00
+23.767500E-03,+2.018818430E+00
+23.770000E-03,+2.018818430E+00
+23.772500E-03,+2.018818430E+00
+23.775000E-03,+2.018818430E+00
+23.777500E-03,+2.018818430E+00
+23.780000E-03,+2.018818430E+00
+23.782500E-03,+2.018818430E+00
+23.785000E-03,+2.018818430E+00
+23.787500E-03,+2.018818430E+00
+23.790000E-03,+2.018818430E+00
+23.792500E-03,+2.018818430E+00
+23.795000E-03,+2.018818430E+00
+23.797500E-03,+2.018818430E+00
+23.800000E-03,+2.018818430E+00
+23.802500E-03,+2.018818430E+00
+23.805000E-03,+2.018818430E+00
+23.807500E-03,+2.018818430E+00
+23.810000E-03,+2.018818430E+00
+23.812500E-03,+2.018818430E+00
+23.815000E-03,+2.018818430E+00
+23.817500E-03,+2.018818430E+00
+23.820000E-03,+2.018818430E+00
+23.822500E-03,+2.018818430E+00
+23.825000E-03,+2.018818430E+00
+23.827500E-03,+2.018818430E+00
+23.830000E-03,+2.018818430E+00
+23.832500E-03,+2.018818430E+00
+23.835000E-03,+2.018818430E+00
+23.837500E-03,+2.018818430E+00
+23.840000E-03,+2.018818430E+00
+23.842500E-03,+2.018818430E+00
+23.845000E-03,+2.018818430E+00
+23.847500E-03,+2.018818430E+00
+23.850000E-03,+2.018818430E+00
+23.852500E-03,+2.018818430E+00
+23.855000E-03,+2.018818430E+00
+23.857500E-03,+2.018818430E+00
+23.860000E-03,+2.018818430E+00
+23.862500E-03,+2.018818430E+00
+23.865000E-03,+2.018818430E+00
+23.867500E-03,+2.018818430E+00
+23.870000E-03,+2.018818430E+00
+23.872500E-03,+2.018818430E+00
+23.875000E-03,+2.018818430E+00
+23.877500E-03,+2.018818430E+00
+23.880000E-03,+2.018818430E+00
+23.882500E-03,+2.018818430E+00
+23.885000E-03,+2.018818430E+00
+23.887500E-03,+2.018818430E+00
+23.890000E-03,+2.018818430E+00
+23.892500E-03,+2.018818430E+00
+23.895000E-03,+2.018818430E+00
+23.897500E-03,+2.018818430E+00
+23.900000E-03,+2.018818430E+00
+23.902500E-03,+2.018818430E+00
+23.905000E-03,+2.018818430E+00
+23.907500E-03,+2.018818430E+00
+23.910000E-03,+2.018818430E+00
+23.912500E-03,+2.018818430E+00
+23.915000E-03,+2.018818430E+00
+23.917500E-03,+2.018818430E+00
+23.920000E-03,+2.018818430E+00
+23.922500E-03,+2.018818430E+00
+23.925000E-03,+2.018818430E+00
+23.927500E-03,+2.018818430E+00
+23.930000E-03,+2.018818430E+00
+23.932500E-03,+2.018818430E+00
+23.935000E-03,+2.018818430E+00
+23.937500E-03,+2.018818430E+00
+23.940000E-03,+2.018818430E+00
+23.942500E-03,+2.018818430E+00
+23.945000E-03,+2.018818430E+00
+23.947500E-03,+2.018818430E+00
+23.950000E-03,+2.018818430E+00
+23.952500E-03,+2.018818430E+00
+23.955000E-03,+2.018818430E+00
+23.957500E-03,+2.018818430E+00
+23.960000E-03,+2.018818430E+00
+23.962500E-03,+2.018818430E+00
+23.965000E-03,+2.018818430E+00
+23.967500E-03,+2.018818430E+00
+23.970000E-03,+2.018818430E+00
+23.972500E-03,+2.018818430E+00
+23.975000E-03,+2.018818430E+00
+23.977500E-03,+2.018818430E+00
+23.980000E-03,+2.018818430E+00
+23.982500E-03,+2.018818430E+00
+23.985000E-03,+2.018818430E+00
+23.987500E-03,+2.018818430E+00
+23.990000E-03,+2.018818430E+00
+23.992500E-03,+2.018818430E+00
+23.995000E-03,+2.018818430E+00
+23.997500E-03,+2.018818430E+00
+24.000000E-03,+2.018818430E+00
+24.002500E-03,+2.018818430E+00
+24.005000E-03,+2.018818430E+00
+24.007500E-03,+2.018818430E+00
+24.010000E-03,+2.018818430E+00
+24.012500E-03,+2.018818430E+00
+24.015000E-03,+2.018818430E+00
+24.017500E-03,+2.018818430E+00
+24.020000E-03,+2.018818430E+00
+24.022500E-03,+2.018818430E+00
+24.025000E-03,+2.018818430E+00
+24.027500E-03,+2.018818430E+00
+24.030000E-03,+2.018818430E+00
+24.032500E-03,+2.018818430E+00
+24.035000E-03,+2.018818430E+00
+24.037500E-03,+2.018818430E+00
+24.040000E-03,+2.018818430E+00
+24.042500E-03,+2.018818430E+00
+24.045000E-03,+2.018818430E+00
+24.047500E-03,+2.018818430E+00
+24.050000E-03,+2.018818430E+00
+24.052500E-03,+2.018818430E+00
+24.055000E-03,+2.018818430E+00
+24.057500E-03,+2.018818430E+00
+24.060000E-03,+2.018818430E+00
+24.062500E-03,+2.018818430E+00
+24.065000E-03,+2.018818430E+00
+24.067500E-03,+2.018818430E+00
+24.070000E-03,+2.018818430E+00
+24.072500E-03,+2.018818430E+00
+24.075000E-03,+2.018818430E+00
+24.077500E-03,+2.018818430E+00
+24.080000E-03,+2.018818430E+00
+24.082500E-03,+2.018818430E+00
+24.085000E-03,+2.018818430E+00
+24.087500E-03,+2.018818430E+00
+24.090000E-03,+2.018818430E+00
+24.092500E-03,+2.018818430E+00
+24.095000E-03,+2.018818430E+00
+24.097500E-03,+2.018818430E+00
+24.100000E-03,+2.018818430E+00
+24.102500E-03,+2.018818430E+00
+24.105000E-03,+2.018818430E+00
+24.107500E-03,+2.018818430E+00
+24.110000E-03,+2.018818430E+00
+24.112500E-03,+2.018818430E+00
